uncultured bacterium,FS10000603:2:BPC29607-1927:1:1101:14000:1000,LR595211.1,98.639,147,2,0,5,151,6,152,5.28e-66,261
bacterium,FS10000603:2:BPC29607-1927:1:1101:4360:1010,MH151273.1,99.338,151,1,0,1,151,273,423,6.79e-70,274
uncultured bacterium,FS10000603:2:BPC29607-1927:1:1101:8840:1020,LC336353.1,98.675,151,2,0,1,151,3,153,3.16e-68,268
Sphingomonas yabuuchiae,FS10000603:2:BPC29607-1927:1:1101:2420:1040,LR215188.1,99.338,151,1,0,1,151,984,834,6.79e-70,274
Delftia acidovorans,FS10000603:2:BPC29607-1927:1:1101:6360:1060,MN173541.1,98.000,150,3,0,1,150,329,478,5.24e-66,261
Comamonas sp.,FS10000603:2:BPC29607-1927:1:1101:1330:1070,MH368290.1,98.013,151,3,0,1,151,285,435,1.47e-66,263
Mycolicibacterium llatzerense,FS10000603:2:BPC29607-1927:1:1101:2900:1070,MH424469.1,98.667,150,2,0,1,150,266,415,1.13e-67,267
uncultured bacterium,FS10000603:2:BPC29607-1927:1:1101:13400:1070,LR595442.1,97.333,150,4,0,1,150,1,150,2.44e-64,255
Delftia acidovorans,FS10000603:2:BPC29607-1927:1:1101:13590:1090,MN173541.1,98.675,151,2,0,1,151,329,479,3.16e-68,268
uncultured bacterium,FS10000603:2:BPC29607-1927:1:1101:13930:1090,LR595485.1,98.667,150,2,0,1,150,1,150,1.13e-67,267
uncultured bacterium,FS10000603:2:BPC29607-1927:1:1101:7420:1100,LR594953.1,98.675,151,2,0,1,151,1,151,3.16e-68,268
Sphingomonas sp.,FS10000603:2:BPC29607-1927:1:1101:7680:1100,MN315414.1,98.013,151,3,0,1,151,302,452,1.47e-66,263
uncultured bacterium,FS10000603:2:BPC29607-1927:1:1101:3940:1110,LC336352.1,100.000,151,0,0,1,151,3,153,1.46e-71,279
Sphingomonas sp. UBH4,FS10000603:2:BPC29607-1927:1:1101:12460:1110,KP398538.1,99.338,151,1,0,1,151,189,339,6.79e-70,274
uncultured bacterium,FS10000603:2:BPC29607-1927:1:1101:13470:1110,LR595442.1,97.351,151,4,0,1,151,1,151,6.83e-65,257
Mycobacteroides franklinii,FS10000603:2:BPC29607-1927:1:1101:1420:1120,MK501351.1,98.667,150,2,0,1,150,266,415,1.13e-67,267
Mycobacteroides franklinii,FS10000603:2:BPC29607-1927:1:1101:3180:1130,MK501351.1,98.667,150,2,0,1,150,266,415,1.13e-67,267
Azospira oryzae,FS10000603:2:BPC29607-1927:1:1101:15580:1130,MN326711.1,98.667,150,2,0,1,150,310,459,1.13e-67,267
Mycobacteroides franklinii,FS10000603:2:BPC29607-1927:1:1101:5050:1140,MK501351.1,100.000,150,0,0,1,150,266,415,5.20e-71,278
uncultured bacterium,FS10000603:2:BPC29607-1927:1:1101:8770:1140,LR595211.1,98.667,150,2,0,1,150,1,150,1.13e-67,267
Comamonas sp.,FS10000603:2:BPC29607-1927:1:1101:4140:1150,MH368290.1,98.684,152,1,1,1,151,285,436,3.16e-68,268
uncultured bacterium,FS10000603:2:BPC29607-1927:1:1101:14230:1150,LR595551.1,98.675,151,2,0,1,151,1,151,3.16e-68,268
Delftia tsuruhatensis,FS10000603:2:BPC29607-1927:1:1101:1440:1160,MN393973.1,99.338,151,1,0,1,151,267,417,6.79e-70,274
Mycobacteroides franklinii,FS10000603:2:BPC29607-1927:1:1101:7970:1160,MK501351.1,99.333,150,1,0,1,150,266,415,2.42e-69,272
Delftia tsuruhatensis,FS10000603:2:BPC29607-1927:1:1101:16430:1160,MN393973.1,98.013,151,3,0,1,151,267,417,1.47e-66,263
Delftia sp. SS12.34,FS10000603:2:BPC29607-1927:1:1101:11740:1170,KC160924.1,99.333,150,1,0,1,150,326,475,2.42e-69,272
uncultured bacterium,FS10000603:2:BPC29607-1927:1:1101:9480:1190,MH989796.1,96.667,150,5,0,1,150,2,151,1.13e-62,250
uncultured bacterium,FS10000603:2:BPC29607-1927:1:1101:3430:1210,LR595485.1,99.333,150,1,0,1,150,1,150,2.42e-69,272
uncultured bacterium,FS10000603:2:BPC29607-1927:1:1101:3470:1210,LR595485.1,99.333,150,1,0,1,150,1,150,2.42e-69,272
Mycobacteroides franklinii,FS10000603:2:BPC29607-1927:1:1101:10000:1220,MK501351.1,98.000,150,3,0,1,150,266,415,5.24e-66,261
uncultured bacterium,FS10000603:2:BPC29607-1927:1:1101:10420:1220,LC336352.1,100.000,151,0,0,1,151,3,153,1.46e-71,279
uncultured bacterium,FS10000603:2:BPC29607-1927:1:1101:6660:1240,LR594885.1,98.000,150,3,0,1,150,1,150,5.24e-66,261
uncultured bacterium,FS10000603:2:BPC29607-1927:1:1101:7700:1240,LR595551.1,96.689,151,5,0,1,151,1,151,3.18e-63,252
Novosphingobium sp.,FS10000603:2:BPC29607-1927:1:1101:6710:1250,MK402961.2,98.013,151,3,0,1,151,242,392,1.47e-66,263
Sphingobium yanoikuyae,FS10000603:2:BPC29607-1927:1:1101:1900:1260,MN272336.1,99.333,150,1,0,1,150,247,396,2.42e-69,272
Comamonas testosteroni,FS10000603:2:BPC29607-1927:1:1101:6440:1270,MH698494.1,97.333,150,2,1,2,151,447,594,8.84e-64,254
Microbacterium sp. 1S1,FS10000603:2:BPC29607-1927:1:1101:8490:1270,CP043430.1,99.333,150,1,0,1,150,4929,4780,2.42e-69,272
Microbacterium sp. 1S1,FS10000603:2:BPC29607-1927:1:1101:8490:1270,CP043430.1,98.026,152,1,1,1,150,3164331,3164180,1.46e-66,263
Stenotrophomonas maltophilia,FS10000603:2:BPC29607-1927:1:1101:12720:1270,MH719740.1,98.013,151,3,0,1,151,307,457,1.47e-66,263
uncultured bacterium,FS10000603:2:BPC29607-1927:1:1101:2970:1280,LR595442.1,98.013,151,3,0,1,151,1,151,1.47e-66,263
uncultured bacterium,FS10000603:2:BPC29607-1927:1:1101:10800:1280,LC336353.1,98.675,151,2,0,1,151,3,153,3.16e-68,268
uncultured bacterium,FS10000603:2:BPC29607-1927:1:1101:9100:1300,LR595485.1,100.000,151,0,0,1,151,1,151,1.46e-71,279
Mycobacteroides franklinii,FS10000603:2:BPC29607-1927:1:1101:16400:1300,MK501351.1,100.000,150,0,0,1,150,266,415,5.20e-71,278
Sphingomonas yabuuchiae,FS10000603:2:BPC29607-1927:1:1101:14170:1310,LR215188.1,100.000,151,0,0,1,151,984,834,1.46e-71,279
Pseudomonas putida,FS10000603:2:BPC29607-1927:1:1101:3750:1320,JQ246815.1,99.333,150,1,0,1,150,2,151,2.42e-69,272
uncultured bacterium,FS10000603:2:BPC29607-1927:1:1101:4750:1330,LR595551.1,98.013,151,3,0,1,151,1,151,1.47e-66,263
uncultured bacterium,FS10000603:2:BPC29607-1927:1:1101:11940:1330,LR595442.1,100.000,150,0,0,1,150,1,150,5.20e-71,278
Pseudomonas putida,FS10000603:2:BPC29607-1927:1:1101:13690:1340,JQ246815.1,99.338,151,1,0,1,151,2,152,6.79e-70,274
uncultured Elizabethkingia sp.,FS10000603:2:BPC29607-1927:1:1101:4400:1350,MN383092.1,98.675,151,2,0,1,151,288,438,3.16e-68,268
Legionella sp. 5E50,FS10000603:2:BPC29607-1927:1:1101:15940:1360,KC352895.1,98.013,151,3,0,1,151,278,428,1.47e-66,263
Legionella sp. 5E50,FS10000603:2:BPC29607-1927:1:1101:15960:1360,KC352895.1,98.013,151,3,0,1,151,278,428,1.47e-66,263
Tsukamurella paurometabola,FS10000603:2:BPC29607-1927:1:1101:5630:1370,LT838147.1,97.297,148,4,0,3,150,1,148,3.15e-63,252
uncultured bacterium,FS10000603:2:BPC29607-1927:1:1101:13380:1370,LR595211.1,100.000,151,0,0,1,151,1,151,1.46e-71,279
Mycobacteroides franklinii,FS10000603:2:BPC29607-1927:1:1101:13440:1370,MK501351.1,98.667,150,2,0,1,150,266,415,1.13e-67,267
uncultured bacterium,FS10000603:2:BPC29607-1927:1:1101:14420:1370,LR595551.1,98.667,150,2,0,1,150,1,150,1.13e-67,267
Delftia acidovorans,FS10000603:2:BPC29607-1927:1:1101:8930:1380,MN173541.1,100.000,150,0,0,1,150,329,478,5.20e-71,278
uncultured bacterium,FS10000603:2:BPC29607-1927:1:1101:1310:1390,LR595551.1,98.013,151,3,0,1,151,1,151,1.47e-66,263
Comamonas sp.,FS10000603:2:BPC29607-1927:1:1101:9120:1390,MN372455.1,99.333,150,1,0,1,150,306,455,2.42e-69,272
uncultured bacterium,FS10000603:2:BPC29607-1927:1:1101:16150:1390,LC336226.1,99.333,150,1,0,1,150,3,152,2.42e-69,272
uncultured bacterium,FS10000603:2:BPC29607-1927:1:1101:6750:1400,LR595485.1,99.338,151,1,0,1,151,1,151,6.79e-70,274
Delftia acidovorans,FS10000603:2:BPC29607-1927:1:1101:13720:1410,MN173541.1,97.368,152,3,1,1,151,329,480,6.83e-65,257
Sphingobium yanoikuyae,FS10000603:2:BPC29607-1927:1:1101:2130:1430,MN272336.1,99.338,151,1,0,1,151,247,397,6.79e-70,274
uncultured bacterium,FS10000603:2:BPC29607-1927:1:1101:7070:1430,LR595211.1,98.675,151,2,0,1,151,1,151,3.16e-68,268
uncultured bacterium,FS10000603:2:BPC29607-1927:1:1101:7260:1430,LR595211.1,98.667,150,2,0,1,150,1,150,1.13e-67,267
uncultured bacterium,FS10000603:2:BPC29607-1927:1:1101:11370:1430,LR594885.1,98.675,151,2,0,1,151,1,151,3.16e-68,268
uncultured bacterium,FS10000603:2:BPC29607-1927:1:1101:4340:1440,LR595442.1,99.333,150,1,0,1,150,1,150,2.42e-69,272
Delftia tsuruhatensis,FS10000603:2:BPC29607-1927:1:1101:9180:1440,MN393973.1,99.333,150,1,0,1,150,267,416,2.42e-69,272
uncultured bacterium,FS10000603:2:BPC29607-1927:1:1101:6280:1450,LR594932.1,97.959,147,3,0,1,147,1,147,2.44e-64,255
uncultured bacterium,FS10000603:2:BPC29607-1927:1:1101:7560:1450,LR594885.1,99.338,151,1,0,1,151,1,151,6.79e-70,274
Mycobacteroides franklinii,FS10000603:2:BPC29607-1927:1:1101:9470:1450,MK501351.1,98.667,150,2,0,1,150,266,415,1.13e-67,267
Sphingomonas yabuuchiae,FS10000603:2:BPC29607-1927:1:1101:14210:1450,LR215188.1,98.675,151,2,0,1,151,984,834,3.16e-68,268
Mycobacteroides franklinii,FS10000603:2:BPC29607-1927:1:1101:1550:1460,MK501351.1,98.000,150,3,0,1,150,266,415,5.24e-66,261
uncultured bacterium,FS10000603:2:BPC29607-1927:1:1101:7220:1460,LR595211.1,98.667,150,2,0,1,150,1,150,1.14e-67,267
Pseudomonas putida,FS10000603:2:BPC29607-1927:1:1101:14820:1460,JQ246815.1,99.338,151,1,0,1,151,2,152,6.79e-70,274
uncultured bacterium,FS10000603:2:BPC29607-1927:1:1101:3850:1470,LR595211.1,98.667,150,2,0,1,150,1,150,1.13e-67,267
uncultured bacterium,FS10000603:2:BPC29607-1927:1:1101:13720:1470,LC336353.1,100.000,151,0,0,1,151,3,153,1.46e-71,279
uncultured bacterium,FS10000603:2:BPC29607-1927:1:1101:8830:1490,LC336352.1,100.000,151,0,0,1,151,3,153,1.46e-71,279
Mycobacteroides franklinii,FS10000603:2:BPC29607-1927:1:1101:9500:1490,MK501351.1,99.333,150,1,0,1,150,266,415,2.42e-69,272
uncultured bacterium,FS10000603:2:BPC29607-1927:1:1101:2550:1500,LR595665.1,98.000,150,2,1,1,149,1,150,1.90e-65,259
Mycobacteroides franklinii,FS10000603:2:BPC29607-1927:1:1101:5520:1500,MK501351.1,99.333,150,1,0,1,150,266,415,2.42e-69,272
Delftia acidovorans,FS10000603:2:BPC29607-1927:1:1101:8260:1500,MN173541.1,100.000,150,0,0,1,150,329,478,5.20e-71,278
uncultured bacterium,FS10000603:2:BPC29607-1927:1:1101:11420:1500,LC336352.1,100.000,150,0,0,1,150,3,152,5.20e-71,278
Mycobacteroides franklinii,FS10000603:2:BPC29607-1927:1:1101:16120:1500,MK501351.1,100.000,150,0,0,1,150,266,415,5.20e-71,278
uncultured bacterium,FS10000603:2:BPC29607-1927:1:1101:2670:1520,LC336352.1,100.000,151,0,0,1,151,3,153,1.46e-71,279
Pseudomonas hussainii,FS10000603:2:BPC29607-1927:1:1101:2760:1520,MG016523.1,97.351,151,4,0,1,151,308,458,6.83e-65,257
bacterium,FS10000603:2:BPC29607-1927:1:1101:4520:1520,MN096634.1,98.000,150,3,0,1,150,289,438,5.24e-66,261
Sphingomonas yabuuchiae,FS10000603:2:BPC29607-1927:1:1101:5890:1530,LR215188.1,98.026,152,2,1,1,151,984,833,1.47e-66,263
Delftia tsuruhatensis,FS10000603:2:BPC29607-1927:1:1101:4160:1540,MN393973.1,98.000,150,3,0,1,150,267,416,5.24e-66,261
